"p","d","q","P","D","Q","AICc","BIC"
0,1,2,1,0,1,2215.55608939786,2226.50630019798
0,1,2,1,0,0,2215.58413725455,2224.46302735583
1,1,0,1,0,1,2216.14381561041,2225.02270571168
1,1,0,1,0,0,2216.56367872365,2223.30948087939
1,1,2,1,0,1,2217.66948298134,2230.62663734993
1,1,2,1,0,0,2217.79849110252,2228.74870190264
2,1,2,1,0,0,2217.80862987622,2230.76578424481
0,1,1,1,0,1,2218.07635522154,2226.95524532282
2,1,0,1,0,1,2218.42544938471,2229.37566018483
1,1,1,1,0,1,2218.42760681836,2229.37781761848
2,1,0,1,0,0,2218.70057073607,2227.57946083735
1,1,1,1,0,0,2218.74606404083,2227.62495414211
0,1,1,1,0,0,2219.41347653394,2226.15927868969
2,1,1,1,0,1,2219.550394683,2232.50754905159
2,1,1,1,0,0,2219.84600930155,2230.79622010167
2,1,2,1,0,1,2219.96131776215,2234.85827954898
0,1,2,0,0,1,2220.81032971136,2229.68921981264
1,1,0,0,0,1,2221.14163209896,2227.8874342547
2,1,2,0,0,1,2222.65369489625,2235.61084926484
1,1,2,0,0,1,2223.07638178661,2234.02659258673
2,1,0,0,0,1,2223.32053918419,2232.19942928547
1,1,1,0,0,1,2223.34092434855,2232.21981444983
0,1,0,1,0,1,2224.1650309439,2230.91083309965
2,1,1,0,0,1,2224.82802318275,2235.77823398286
0,1,1,0,0,1,2224.84789305997,2231.59369521571
0,1,0,1,0,0,2226.11563376058,2230.66905141396
1,1,0,0,0,0,2229.31540120646,2233.86881885984
0,1,2,0,0,0,2229.40372400487,2236.14952616062
2,1,2,0,0,0,2229.74790077006,2240.69811157017
2,1,0,0,0,0,2231.4566316414,2238.20243379715
1,1,1,0,0,0,2231.46598451413,2238.21178666987
1,1,2,0,0,0,2231.60948147101,2240.48837157229
2,1,1,0,0,0,2233.26801032574,2242.14690042701
0,1,1,0,0,0,2233.398305841,2237.95172349438
0,1,0,0,0,1,2234.52459372837,2239.07801138175
0,1,0,0,0,0,2246.1896421779,2248.49371942564
